method,tx,selectivity,included_columns,join,dram_gib,target_gib,update_size,timestamp,file_path,tput,w_mib,r_mib,cycles_per_tx,utilized_cpus,cpu_time_per_tx,ssd_reads_per_tx,ssd_writes_per_tx
materialized join view,scan,100,0,inner,1.0,4,5,12-31-16-18,join/1.0-4-scan-col0/12-31-16-18_sum.csv,0.007874015748031496,0.0,14.628346456692912,207916234.18897638,0.190851937007874,210.20732218897638,4475.63779527559,0.007874015748031496
materialized join view,read,19,0,inner,1.0,4,5,12-31-02-44,join/1.0-4-read-sel19-col0/12-31-02-44_sum.csv,932.7,0.0,15.580833333333329,155546.796299225,0.14594875833333334,0.157135825,4.304963633333333,0.0
materialized join view,read,100,1,outer,1.0,4,5,01-01-09-24,join/1.0-4-read-outer/01-01-09-24_sum.csv,915.4916666666667,0.0,15.583333333333332,121808.826800375,0.112338225,0.12317665,4.384287275,0.0
materialized join view,write,100,2,inner,1.0,4,5,01-01-01-28,join/1.0-4-write-col2/01-01-01-28_sum.csv,32.291666666666664,0.10666666666666669,15.432500000000001,3948947.058907167,0.12784935833333336,3.9909024499999997,123.85564797500001,0.93291235
materialized join view,read-locality,100,1,inner,16.0,4,5,09-22-17-21,join/16.0-4-read-locality/09-22-17-21_sum.csv,234327.52222222224,0.0,0.0,17146.11107278889,3.9960245,0.017146722222222223,0.0,0.0
materialized join view,read-locality,19,2,inner,1.0,4,5,01-01-03-54,join/1.0-4-read-locality-sel19-col2/01-01-03-54_sum.csv,376919.9579831933,0.0,15.568907563025205,2876.562702915967,1.0767408235294118,0.002880159663865547,0.010690487394957985,0.0
materialized join view,write,100,0,inner,1.0,4,5,12-31-16-41,join/1.0-4-write-col0/12-31-16-41_sum.csv,130.76666666666668,0.3166666666666666,15.239166666666666,1370143.52306255,0.1803316333333333,1.3860904,30.109062541666663,0.6243586999999999
materialized join view,write,100,2,inner,16.0,4,5,01-01-09-04,join/16.0-4-write-col2/01-01-09-04_sum.csv,1206.1444444444444,0.0,0.0,3443282.1581549784,3.997759533333333,3.443359333333334,0.0,0.0
materialized join view,read,50,0,inner,1.0,4,5,12-31-01-18,join/1.0-4-read-sel50-col0/12-31-01-18_sum.csv,539.425,0.0,15.577499999999997,274304.65268688335,0.1489640916666667,0.27735439166666664,7.443564008333333,0.0
materialized join view,write,19,0,inner,1.0,4,5,12-31-03-41,join/1.0-4-write-sel19-col0/12-31-03-41_sum.csv,583.55,1.4358333333333335,14.117499999999998,299228.41805290827,0.17507145000000002,0.30213615,6.2666981,0.6345035499999999
